,Protein_Names,Protein_Group,Protein_Ids,Genes,First_Protein_Description,Peptides,1135-MRL_12,3057-MLL-LP1_2,3057-MLL-LS1_1,3057-MLL-NUC_3,3057-MRL-LP1_10,3057-MRL-LS1_7,3058-FRL_5,3058-FRU_13,3058-FRU-LP1_9,3058-FRU-LS1_6,3058-MRU_15,3062-MRL_4,3062-MRU_14,3062-MRU-LP1_11,3062-MRU-LS1_8
13,H4_MOUSE,P62806,P62806,H4f16,Histone H4,10,4955850.0,58004900.0,2184040.0,26495200.0,46057200.0,819559.0,2056740.0,3613550.0,72334300.0,1408930.0,2527600.0,1899410.0,2026890.0,941881000.0,10371500.0
14,K1C10-2_MOUSE;K1C10-3_MOUSE;K1C10_MOUSE,P02535;P02535-2;P02535-3,P02535;A2A513;P02535-2;P02535-3,Krt10,"Keratin, type I cytoskeletal 10",12,42767600.0,54989500.0,63966200.0,97492900.0,96177900.0,23199600.0,55969100.0,18065900.0,17067300.0,39109700.0,61857600.0,67188700.0,15976400.0,24306800.0,56023900.0
15,G3P_MOUSE,P16858,A0A1D5RLD8;P16858;S4R1W1;A0A0A0MQF6;S4R257,Gapdh,Glyceraldehyde-3-phosphate dehydrogenase,21,2229020.0,54351900.0,899569000.0,2984580.0,70721900.0,7195420.0,1786250.0,5584110.0,9317460.0,3961710.0,8174560.0,2615080.0,37502600.0,316458000.0,44068400.0
16,K2C71_MOUSE,Q9R0H5,Q3UV17;Q9DCV7;Q9R0H5;D3Z6N5,Krt71,"Keratin, type II cytoskeletal 71",22,60543000.0,52370300.0,126547000.0,23056600.0,39329100.0,13413300.0,48660100.0,19882600.0,14972500.0,74512400.0,31627600.0,42496900.0,23678000.0,29101500.0,36156900.0
17,AT1A3_MOUSE,Q6PIC6,Q6PIC6;A0A0G2JGX4;Q8VCE0,Atp1a3,Sodium/potassium-transporting ATPase subunit alpha-3,54,1161190.0,51595600.0,11465800.0,1488690.0,70035400.0,0.0,2828590.0,11249700.0,16365900.0,252039.0,11726500.0,3145170.0,33491600.0,441255000.0,1123960.0
18,STXB1_MOUSE,O08599,O08599;O08599-2,Stxbp1,Syntaxin-binding protein 1,48,404954.0,50923900.0,237523000.0,886514.0,67114100.0,1430920.0,328043.0,898342.0,4563170.0,474574.0,3301370.0,409468.0,4912880.0,108062000.0,11918600.0
19,ATPA_MOUSE,Q03265,Q03265;D3Z6F5,Atp5f1a,"ATP synthase subunit alpha, mitochondrial",40,1261880.0,47780700.0,51465800.0,1653340.0,68616000.0,564405.0,6149630.0,29555400.0,17958500.0,667548.0,7152250.0,5476970.0,60574000.0,458649000.0,4407300.0
20,TBB4B_MOUSE,P68372,P68372,Tubb4b,Tubulin beta-4B chain,1,1835280.0,46947800.0,141935000.0,708787.0,60310300.0,1656820.0,5903260.0,23532300.0,21845300.0,2604340.0,11262700.0,5745770.0,52174500.0,425480000.0,24331500.0
21,K2C5_MOUSE,Q922U2,Q922U2,Krt5,"Keratin, type II cytoskeletal 5",29,40218700.0,45042100.0,54812500.0,70454700.0,121120000.0,13837600.0,32440500.0,11915200.0,12968400.0,27119900.0,50239100.0,42793200.0,11908200.0,23393400.0,41033600.0
22,H2B1C_MOUSE;H2B1H_MOUSE,Q64478;Q6ZWY9,P10853;P10854;P70696;Q64475;Q64478;Q64524;Q64525;Q6ZWY9;Q8CGP0;Q8CGP1;Q8CGP2;Q9D2U9;Q8CBB6;Q8CGP2-2,H2bc4;H2bc9,Histone H2B type 1-H,9,3705500.0,44206900.0,1956400.0,16528600.0,36632200.0,327147.0,1116740.0,2933790.0,59416200.0,725942.0,2103870.0,1718020.0,2394090.0,1774930000.0,5767860.0
23,DYN1-3_MOUSE,P39053-3,P39053;A0A0J9YUE9;A0A0J9YUN4;F6W8Z8;P39053-3;P39053-4;P39053-5;P39053-6,Dnm1,"Isoform of P39053, Isoform 3 of Dynamin-1",64,289493.0,43922800.0,190852000.0,712258.0,69484100.0,1492370.0,349334.0,1331660.0,5510230.0,498863.0,1914740.0,355074.0,5225920.0,123343000.0,9565280.0
24,SPTN1_MOUSE,P16546,P16546;A3KGU5;A3KGU7;A3KGU9;E9Q447;P16546-2,Sptan1,"Spectrin alpha chain, non-erythrocytic 1",232,4041230.0,43899600.0,24840000.0,633873.0,60137100.0,219019.0,10666400.0,19120300.0,108106000.0,338832.0,34576100.0,13155000.0,100825000.0,1493150000.0,3053420.0
25,PLEC-6_MOUSE;PLEC-7_MOUSE;PLEC-8_MOUSE,Q9QXS1-6;Q9QXS1-7;Q9QXS1-8,Q9QXS1;A0A3B2W7J8;E9Q3W4;Q9QXS1-10;Q9QXS1-11;Q9QXS1-12;Q9QXS1-13;Q9QXS1-14;Q9QXS1-15;Q9QXS1-16;Q9QXS1-2;Q9QXS1-3;Q9QXS1-4;Q9QXS1-5;Q9QXS1-6;Q9QXS1-7;Q9QXS1-8;Q9QXS1-9,Plec,"Isoform of Q9QXS1, Isoform PLEC-0,1C of Plectin",397,21578900.0,43396200.0,36083900.0,3066240.0,64637400.0,0.0,5853270.0,7956840.0,199165000.0,1298190.0,23139000.0,5884340.0,23073400.0,2856640000.0,9807250.0
26,NSF_MOUSE,P46460,P46460,Nsf,Vesicle-fusing ATPase,61,561263.0,43147200.0,234444000.0,1495880.0,61844600.0,2085320.0,1584200.0,6033860.0,7292450.0,715265.0,4788030.0,1555560.0,15084700.0,164858000.0,15799100.0
27,GNAO_MOUSE,P18872,P18872;D3Z2M7;P18872-2,Gnao1,Guanine nucleotide-binding protein G(o) subunit alpha,17,498196.0,42716600.0,10313600.0,525645.0,61523000.0,155678.0,1094330.0,4281980.0,15168300.0,297118.0,5079460.0,1085760.0,16218500.0,257670000.0,3826410.0
28,H31_MOUSE;H32_MOUSE,P68433;P84228,P02301;P68433;P84228;P84244;A0A1W2P768;E0CYN1;E0CYR7;E0CZ27;F8WI35,H3c1;H3c13,Histone H3.1,6,3568130.0,42388400.0,2276470.0,19196800.0,31359300.0,643035.0,1955920.0,2547260.0,46497000.0,1661840.0,2376090.0,2052460.0,2673040.0,662464000.0,5226160.0
29,K22O_MOUSE,Q3UV17,Q3UV17,Krt76,"Keratin, type II cytoskeletal 2 oral",2,21798200.0,41145300.0,52614200.0,39863600.0,67491000.0,11016900.0,26006700.0,9809950.0,10550700.0,20503900.0,32115400.0,30766600.0,7438360.0,8669230.0,21683100.0
30,MPCP_MOUSE,Q8VEM8,Q8VEM8,Slc25a3,"Phosphate carrier protein, mitochondrial",17,173785.0,39632300.0,1057780.0,12272800.0,72424500.0,0.0,1574930.0,3835990.0,727196.0,0.0,2146640.0,1740920.0,10364900.0,44115800.0,158783.0
31,KCC2B_MOUSE,P28652,P28652;Q5SVI0;Q5SVI1;Q5SVI2;Q5SVI3;Q5SVI9;Q5SVJ0;Q5SVJ1;Q68EG2,Camk2b,Calcium/calmodulin-dependent protein kinase type II subunit beta,27,2282550.0,37951300.0,10518100.0,576504.0,46961000.0,62992.9,6267370.0,12930000.0,29113700.0,213227.0,28828100.0,6094030.0,23644600.0,459136000.0,1579230.0
32,NFL_MOUSE,P08551,P08551,Nefl,Neurofilament light polypeptide,50,39435300.0,37123900.0,15404600.0,1099070.0,29828900.0,132493.0,5650800.0,6296780.0,333615000.0,2089110.0,17395100.0,3992500.0,10166400.0,4174620000.0,14202900.0
33,NFH_MOUSE,P19246,P19246,Nefh,Neurofilament heavy polypeptide,56,31793600.0,36090300.0,17141700.0,1197810.0,32875900.0,4808820.0,4852130.0,6789800.0,377871000.0,2131870.0,15509000.0,3218000.0,11760800.0,5225510000.0,16590700.0
34,EF1A1_MOUSE,P10126,P10126;D3YZ68;D3Z3I8,Eef1a1,Elongation factor 1-alpha 1,22,1375900.0,35446000.0,273420000.0,3367940.0,54806300.0,1836110.0,2120170.0,6487680.0,9720920.0,872418.0,5277880.0,2598290.0,17787900.0,366223000.0,16505900.0
35,TBB5_MOUSE,P99024,P99024,Tubb5,Tubulin beta-5 chain,4,1445530.0,30475700.0,66562600.0,802834.0,60348900.0,807953.0,2934240.0,14075600.0,18614200.0,1351640.0,8961000.0,3008630.0,32123700.0,889820000.0,11770900.0
36,MBP-4_MOUSE,P04370-4,P04370;A0A498WGS3;P04370-10;P04370-11;P04370-13;P04370-14;P04370-2;P04370-4;P04370-5;P04370-6;P04370-7;P04370-8;P04370-9,Mbp,"Isoform of P04370, Isoform 4 of Myelin basic protein",15,3086740.0,29752600.0,30685200.0,8398280.0,28911100.0,1273450.0,3763330.0,8751480.0,31909300.0,704728.0,14635300.0,3952080.0,35435600.0,473493000.0,3055370.0
37,CLH1_MOUSE,Q68FD5,Q68FD5;Q5SXR6,Cltc,Clathrin heavy chain 1,104,360190.0,28941500.0,187230000.0,413178.0,30362300.0,1328040.0,163383.0,433216.0,5610930.0,388508.0,1613440.0,202497.0,4217640.0,145850000.0,7954330.0
38,HSP7C_MOUSE,P63017,P63017;D3Z5E2;Q504P4,Hspa8,Heat shock cognate 71 kDa protein,47,2443540.0,28569000.0,81556800.0,1792780.0,41209200.0,792305.0,2145930.0,5481850.0,18889200.0,1099150.0,16318400.0,2619740.0,32459300.0,405410000.0,12231000.0
39,AP2M1_MOUSE,P84091,P84091;Q3TWV4,Ap2m1,AP-2 complex subunit mu,28,373592.0,26419500.0,89205100.0,274200.0,30836500.0,458201.0,184691.0,1020170.0,3644550.0,185033.0,1693090.0,249117.0,4929110.0,104946000.0,3092650.0
40,AINX_MOUSE,P46660,P46660,Ina,Alpha-internexin,43,22261500.0,24242700.0,8966620.0,683669.0,25510100.0,88223.1,3579210.0,4154070.0,240876000.0,1116780.0,14826000.0,2579310.0,5975050.0,2505820000.0,6987830.0
41,MCCA_MOUSE,Q99MR8,Q99MR8;A0A0G2JF64,Mccc1,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",46,39380700.0,24119000.0,24946500.0,17606500.0,39270000.0,15950100.0,49269700.0,156725000.0,8671090.0,83155700.0,58414600.0,53375500.0,146936000.0,45077400.0,41122100.0
42,RS27_MOUSE,Q6ZWU9,Q6ZWU9;Q6ZWY3;A0A0G2JDW7;A0A0G2JG29;D3YYB0;D6RH49,Rps27,40S ribosomal protein S27,4,428860.0,23366200.0,51707000.0,259703.0,21957000.0,502965.0,205385.0,1288470.0,2717910.0,218598.0,546784.0,310217.0,2572230.0,47247100.0,2131220.0
43,K2C1_MOUSE,P04104,P04104,Krt1,"Keratin, type II cytoskeletal 1",4,25863900.0,23210900.0,29713400.0,30692200.0,43165100.0,10405900.0,21550700.0,6333810.0,6507090.0,20041000.0,31874900.0,24773800.0,6395860.0,13838200.0,17503000.0
44,CEND_MOUSE,Q9JKC6,Q9JKC6,Cend1,Cell cycle exit and neuronal differentiation protein 1,6,99184.2,20867900.0,5311230.0,0.0,25212400.0,0.0,151637.0,624390.0,1439410.0,0.0,346868.0,179976.0,3526060.0,30342300.0,494010.0
45,AT1B1_MOUSE,P14094,P14094,Atp1b1,Sodium/potassium-transporting ATPase subunit beta-1,14,222409.0,20691700.0,4748970.0,0.0,31009600.0,0.0,942315.0,3740810.0,7028650.0,0.0,2482650.0,965408.0,10488500.0,198328000.0,341779.0
46,PCCA_MOUSE,Q91ZA3,Q91ZA3,Pcca,"Propionyl-CoA carboxylase alpha chain, mitochondrial",53,51552600.0,20469700.0,13372600.0,16025700.0,36397400.0,10774300.0,53529400.0,199119000.0,16826700.0,96137900.0,77379300.0,53933200.0,187072000.0,34500300.0,54961200.0
47,K22E_MOUSE,Q3TTY5,Q3TTY5,Krt2,"Keratin, type II cytoskeletal 2 epidermal",11,15374300.0,20358400.0,31809000.0,39258700.0,61172500.0,7305040.0,21891800.0,9709900.0,9714570.0,10333400.0,29478300.0,23512100.0,8299620.0,15591000.0,12551800.0
48,SPTB2_MOUSE,Q62261,E9PX29;P15508;Q62261;Q68FG2;A0A0A0MQG2;A0A494BBH5;A0A5F8MPM8;D3YWH8;E9Q397;Q3UGX2;Q62261-2;Q91ZE6,Sptbn1,"Spectrin beta chain, non-erythrocytic 1",200,2381370.0,20222100.0,10621700.0,285317.0,27576200.0,127559.0,7305840.0,13585400.0,52197500.0,234620.0,21142800.0,9140540.0,66019900.0,755117000.0,1843500.0
49,AP2B1-2_MOUSE;AP2B1_MOUSE,Q9DBG3;Q9DBG3-2,Q9DBG3;H3BIY9;H3BKM0;Q9DBG3-2,Ap2b1,AP-2 complex subunit beta,55,77060.6,19778900.0,70575300.0,920878.0,25019100.0,392913.0,0.0,304226.0,2093140.0,64246.8,597128.0,0.0,2186720.0,64150500.0,2966100.0
50,PYC_MOUSE,Q05920,Q05920;E9QPD7;G5E8R3,Pc,"Pyruvate carboxylase, mitochondrial",0,22614000.0,19778800.0,9516420.0,11733700.0,39099300.0,7001770.0,21942300.0,63792300.0,3887580.0,33426400.0,27223500.0,24760500.0,65743900.0,20202200.0,17132200.0
51,IDH3A_MOUSE,Q9D6R2,Q9D6R2;A0A1L1STE6,Idh3a,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",25,30784.3,19128200.0,145940000.0,214611.0,34539100.0,1477170.0,85966.9,296158.0,1399040.0,880504.0,440183.0,138350.0,1016250.0,28174700.0,23723400.0
52,CH60_MOUSE,P63038,P63038;P63038-2,Hspd1,"60 kDa heat shock protein, mitochondrial",43,225088.0,18790600.0,69778200.0,518229.0,29481500.0,618987.0,165963.0,874775.0,1571480.0,676854.0,446265.0,261804.0,2997330.0,33503400.0,19036000.0
53,ODP2_MOUSE,Q8BMF4,Q8BMF4,Dlat,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",20,322500.0,18228100.0,29583400.0,206735.0,27618700.0,174541.0,282771.0,1604960.0,1716250.0,73870.3,2456320.0,308058.0,9624220.0,37530500.0,972141.0
54,MIC60-2_MOUSE,Q8CAQ8-2,Q8CAQ8;A0A0U1RP81;A0A1B0GX08;E9PVS5;E9Q800;E9QAY6;Q8CAQ8-2;Q8CAQ8-3;Q8CAQ8-4;Q8CAQ8-5,Immt,"Isoform of Q8CAQ8, Isoform 2 of MICOS complex subunit Mic60",67,7781220.0,17787700.0,0.0,130840.0,21901800.0,0.0,270716.0,906184.0,2141370.0,0.0,379408.0,201325.0,2069400.0,83779000.0,0.0
55,MAP1A-2_MOUSE,Q9QYR6-2,A2ARP8;Q9QYR6-2,Map1a,"Isoform of Q9QYR6, Isoform 2 of Microtubule-associated protein 1A",144,2700640.0,17608300.0,72840000.0,426981.0,24840900.0,716479.0,644414.0,2204220.0,33694500.0,961433.0,14889500.0,460540.0,24256600.0,281543000.0,14499400.0
56,ADT2_MOUSE,P51881,P51881,Slc25a5,ADP/ATP translocase 2,9,349346.0,17560700.0,870972.0,195150.0,34623900.0,0.0,2016820.0,7578040.0,1281880.0,0.0,1970600.0,2221530.0,17057000.0,29860200.0,198618.0
57,NFM_MOUSE,P08553,P08553;A0A0R4J036,Nefm,Neurofilament medium polypeptide,81,19455000.0,17485700.0,5830950.0,450306.0,15263700.0,46276.2,2413480.0,3059040.0,178760000.0,894811.0,8272700.0,1742670.0,5087150.0,2171410000.0,6861270.0
58,DYHC1_MOUSE,Q9JHU4,Q9JHU4,Dync1h1,Cytoplasmic dynein 1 heavy chain 1,296,376967.0,17319000.0,67282200.0,1707570.0,29539200.0,459830.0,755999.0,4276850.0,8064860.0,201299.0,2168110.0,783895.0,11772300.0,265460000.0,4762630.0
59,AP2A2_MOUSE,P17427,P17427,Ap2a2,AP-2 complex subunit alpha-2,36,2699050.0,16465400.0,54786700.0,639122.0,19598800.0,577360.0,3718790.0,295336.0,2149780.0,0.0,668424.0,4600120.0,1973790.0,43341300.0,2055490.0
60,AT2A2_MOUSE,O55143,O55143;O55143-2,Atp2a2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,49,274467.0,16365700.0,6557330.0,871622.0,21249800.0,1676690.0,1130300.0,2335500.0,4465170.0,0.0,2659230.0,1276770.0,5838140.0,99278900.0,318065.0
61,AP2S1_MOUSE,P62743,P62743;A0A0U1RPS0,Ap2s1,AP-2 complex subunit sigma,7,126467.0,16142300.0,46082700.0,677611.0,19398600.0,680363.0,0.0,632167.0,2226400.0,177112.0,510515.0,217147.0,2654260.0,58976200.0,2039540.0
62,VDAC2_MOUSE,Q60930,Q60930;G3UX26,Vdac2,Voltage-dependent anion-selective channel protein 2,15,73616.4,15884600.0,619172.0,2617820.0,28189100.0,0.0,30159.9,310394.0,1868940.0,0.0,405634.0,79461.9,1029900.0,82279000.0,133601.0
63,IF4H_MOUSE,Q9WUK2,Q9WUK2;Q9WUK2-2,Eif4h,Eukaryotic translation initiation factor 4H,10,6901100.0,15393400.0,33238200.0,17091000.0,8659930.0,7102340.0,13762400.0,0.0,4521010.0,0.0,4084780.0,3894960.0,5415920.0,17605500.0,4455560.0
64,K2C79_MOUSE,Q8VED5,Q8VED5,Krt79,"Keratin, type II cytoskeletal 79",2,10169800.0,15280100.0,14060600.0,18954700.0,22332100.0,4448220.0,15127600.0,5296150.0,4295410.0,9010300.0,14962500.0,17116600.0,4419500.0,6954530.0,9478440.0
65,Q91VA7_MOUSE,Q91VA7,Q91VA7;A0A668KL51,Idh3b,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial",21,84861.6,15130200.0,66872400.0,127535.0,26907600.0,546209.0,246518.0,1868790.0,2609110.0,506224.0,715473.0,308641.0,4853080.0,62031300.0,9974910.0
66,MAP6_MOUSE,Q7TSJ2,Q7TSJ2;D3Z6W1;Q7TSJ2-2,Map6,Microtubule-associated protein 6,71,2940650.0,14929100.0,39158100.0,366738.0,19894500.0,558402.0,1059280.0,3135020.0,30243000.0,1290370.0,12269200.0,714899.0,21733400.0,356585000.0,13717800.0
67,DLG4-2_MOUSE;DLG4-3_MOUSE;DLG4_MOUSE,Q62108;Q62108-2;Q62108-3,Q62108;A0A338P6E5;A0A338P6H5;A0A338P6I6;A0A338P6L4;A0A338P713;A0A338P746;A0A338P7H1;B1AR31;E9Q3Z8;F6TPQ6;G3UZL5;J3QMR8;Q62108-2;Q62108-3,Dlg4,Disks large homolog 4,47,2433570.0,14837700.0,2725790.0,804339.0,19448300.0,511027.0,5351550.0,6500660.0,28989200.0,0.0,20372400.0,5110560.0,6227710.0,349656000.0,620188.0
68,RL27A_MOUSE,P14115,P14115,Rpl27a,60S ribosomal protein L27a,7,808058.0,14602500.0,42814500.0,266253.0,13236500.0,640766.0,416295.0,966311.0,2281400.0,512762.0,1089260.0,497742.0,1907460.0,42458800.0,2135170.0
69,CN37_MOUSE,P16330,P16330;P16330-2,Cnp,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",39,578483.0,14348500.0,13375200.0,157285.0,18457800.0,35097.0,2463020.0,8149280.0,21643800.0,280929.0,4548180.0,2589980.0,26751400.0,536837000.0,2548120.0
70,AP180-2_MOUSE;AP180-3_MOUSE;AP180_MOUSE,Q61548;Q61548-2;Q61548-3,Q61548;A0A5F8MPL3;E9Q9A3;E9QLK9;E9QQ05;Q3TWS4;Q61548-2;Q61548-3,Snap91,Clathrin coat assembly protein AP180,22,254426.0,14084400.0,79949600.0,1006900.0,17078700.0,446721.0,113688.0,232977.0,1633490.0,310811.0,1647640.0,179845.0,2708160.0,40364100.0,4881680.0
71,1433Z_MOUSE,P63101,P63101;A0A2I3BQ03,Ywhaz,14-3-3 protein zeta/delta,18,468226.0,13780200.0,56858400.0,750333.0,20398600.0,1017670.0,854949.0,2103870.0,9353120.0,387238.0,4595930.0,943773.0,10962400.0,165727000.0,9781670.0
72,RAB3A_MOUSE,P63011,P63011;D3YZP5,Rab3a,Ras-related protein Rab-3A,8,220857.0,13587700.0,35205000.0,809531.0,20464300.0,0.0,391661.0,2708430.0,861919.0,155356.0,2198050.0,335617.0,7598140.0,18052000.0,1057910.0
73,PURA_MOUSE,P42669,P42669,Pura,Transcriptional activator protein Pur-alpha,17,131220.0,13547800.0,52774500.0,128788.0,19534200.0,642392.0,542231.0,2791270.0,2715440.0,96720.4,1598390.0,652958.0,14328900.0,42259900.0,4727100.0
74,SYN1_MOUSE,O88935,O88935;O88935-1;O88935-3,Syn1,Synapsin-1,30,121526.0,13485200.0,48176500.0,1405100.0,16264500.0,420434.0,69104.5,296059.0,2233300.0,75179.1,1580950.0,0.0,2082120.0,42738900.0,1310700.0
75,BIP_MOUSE,P20029,P20029,Hspa5,Endoplasmic reticulum chaperone BiP,33,219494.0,13025400.0,5079220.0,553278.0,15712000.0,0.0,206350.0,656693.0,1039450.0,43658.9,827856.0,424915.0,2705960.0,26792800.0,1104560.0
76,SYN2_MOUSE,Q64332,Q64332;Q64332-2,Syn2,Synapsin-2,20,130768.0,12908100.0,71100400.0,4020790.0,16862200.0,496220.0,168712.0,573995.0,2768570.0,133534.0,1358150.0,114874.0,2133550.0,76830400.0,1555560.0
77,MYO5A_MOUSE,Q99104,Q99104;D3YZ62;D3Z4J3,Myo5a,Unconventional myosin-Va,138,1359970.0,12897700.0,4366070.0,1024070.0,13217500.0,0.0,20508600.0,29765300.0,14353500.0,459263.0,27669400.0,24397400.0,71429900.0,230103000.0,781869.0
78,DYN1-6_MOUSE,P39053-6,P39053;P39053-4;P39053-5;P39053-6,Dnm1,"Isoform of P39053, Isoform 6 of Dynamin-1",5,0.0,12687500.0,50532900.0,0.0,17534100.0,460584.0,57436.8,262693.0,1897650.0,0.0,498922.0,0.0,1495400.0,33489100.0,2836270.0
79,RL19_MOUSE,P84099,P84099;A2A547,Rpl19,60S ribosomal protein L19,9,799643.0,12662300.0,42589000.0,213601.0,13345500.0,607987.0,441282.0,1632790.0,2317100.0,559334.0,2160430.0,609005.0,2649350.0,27152000.0,3283810.0
80,SERA_MOUSE,Q61753,Q61753;F6ZSB7,Phgdh,D-3-phosphoglycerate dehydrogenase,21,213736.0,12350400.0,69871600.0,463807.0,20076500.0,486338.0,352982.0,953257.0,823597.0,103363.0,778202.0,405037.0,3585410.0,42904900.0,6470420.0
81,S4A4_MOUSE,O88343,O88343;A0A668KM61;A7E1Z5;E9Q8N8;O88343-2,Slc4a4,Electrogenic sodium bicarbonate cotransporter 1,30,104987.0,11924300.0,1010310.0,0.0,13900300.0,0.0,54533.1,410613.0,3838270.0,0.0,611634.0,42011.3,1563770.0,90006400.0,574231.0
