,Protein_Group,Protein_Ids,Protein_Names,Genes,First_Protein_Description,Peptides,Q331K_M1,Q331K_M2,WT_M3,WT_M4
15,A2AQ25;A2AQ25-2;A2AQ25-3;A2AQ25-4,A2AQ25;A2AQ25-2;A2AQ25-3;A2AQ25-4;A2AQ25-5;A2AQ25-6;A2AQ25-8;A2AQ25-9;D3Z781;E9QAU4,SKT-2_MOUSE;SKT-3_MOUSE;SKT-4_MOUSE;SKT_MOUSE,Skt,Sickle tail protein,8,124977.0,218821.0,0.0,0.0
16,A2AR02,A2AR02;A2AR01,PPIG_MOUSE,Ppig,Peptidyl-prolyl cis-trans isomerase G,3,364420.0,139248.0,125930.0,192066.0
17,A2AW41;Q8VHM5,Q8VHM5;A2AW40;A2AW41;V9GWW3,A2AW41_MOUSE;Q8VHM5_MOUSE,Hnrnpr,"Isoform of Q8VHM5, RRM domain-containing protein (Fragment)",4,260403.0,297850.0,43746.3,291763.0
18,A2RTL5,A2RTL5;Q8BI46;S4R265;S4R2G2;S4R2L4,RSRC2_MOUSE,Rsrc2,Arginine/serine-rich coiled-coil protein 2,1,137135.0,180030.0,0.0,32855.5
19,A8DUK4,A8DUK4;E9Q223,A8DUK4_MOUSE,Hbb-bs,GLOBIN domain-containing protein,5,1301890.0,1411180.0,2039660.0,2407820.0
20,B1AXZ3;B1AXZ4;B1AXZ5;B1AXZ6,B1AXZ3;B1AXZ4;B1AXZ5;B1AXZ6,B1AXZ3_MOUSE;B1AXZ4_MOUSE;B1AXZ5_MOUSE;B1AXZ6_MOUSE,Elavl2,"Isoform of Q60899, ELAV-like protein 2 (Fragment)",1,206692.0,259660.0,0.0,277454.0
21,B2RQG2,B2RQG2;A0A087WP76,B2RQG2_MOUSE,Phf3,PHD finger protein 3,3,36602.8,110794.0,0.0,104998.0
22,B2RSH2;P08752;P20612;P50149;Q3V3I2;Q9DC51,B2RSH2;P08752;P20612;P50149;Q3V3I2;Q9DC51;A0A0A6YWA9;A2AE32;F6QPU5,GNAI1_MOUSE;GNAI2_MOUSE;GNAI3_MOUSE;GNAT1_MOUSE;GNAT2_MOUSE;GNAT3_MOUSE,Gnai1;Gnai2;Gnai3;Gnat1;Gnat2;Gnat3,Guanine nucleotide-binding protein G(i) subunit alpha-1,1,94824.7,187054.0,0.0,0.0
23,B2RY56,B2RY56;S4R2B0,RBM25_MOUSE,Rbm25,RNA-binding protein 25,8,681739.0,663700.0,176768.0,696412.0
24,C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;P0C0S6;P27661;Q3THW5;Q64523;Q6GSS7;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2,C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;P0C0S6;P27661;Q3THW5;Q64523;Q6GSS7;Q8BFU2;Q8CGP4;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2;A0A0N4SV66;Q8R029,H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1F_MOUSE;H2A1G_MOUSE;H2A1H_MOUSE;H2A1I_MOUSE;H2A1K_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A2A_MOUSE;H2A2C_MOUSE;H2A3_MOUSE;H2AJ_MOUSE;H2AV_MOUSE;H2AX_MOUSE;H2AZ_MOUSE,H2ac11;H2ac12;H2ac13;H2ac15;H2ac20;H2ac4;H2ac6;H2ac7;H2ac8;H2aj;H2aw;H2ax;H2az1;H2az2;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist2h2aa1,Histone H2A type 1-B,1,683664.0,541199.0,535641.0,632194.0
25,D3YW09;G3UVU2,D3YW09;G3UVU2,D3YW09_MOUSE;G3UVU2_MOUSE,Sf3a2,"Isoform of Q62203, Splicing factor 3A subunit 2",1,160965.0,173367.0,0.0,181844.0
26,D3YWT1;D3Z3N4,D3Z3N4;D3YWT1,D3YWT1_MOUSE;D3Z3N4_MOUSE,Hnrnph3,"Isoform of D3Z3N4, Heterogeneous nuclear ribonucleoprotein H3",4,122222.0,93724.8,0.0,159837.0
27,D3YWX2;F6YTL8,D3YWX2;F6YTL8,D3YWX2_MOUSE;F6YTL8_MOUSE,Ylpm1,"Isoform of Q9R0I7, YLP motif-containing protein 1",8,254474.0,271462.0,0.0,247465.0
28,D3YXK2,D3YXK2;S4R1M2,SAFB1_MOUSE,Safb,Scaffold attachment factor B1,4,220027.0,278120.0,0.0,282590.0
29,D3Z0M9,D3Z0M9,D3Z0M9_MOUSE,Ddx23,RNA helicase,5,116149.0,142484.0,96581.5,72917.8
30,D3Z7P3;D3Z7P3-2,D3Z7P3;D3Z7P3-2;D3Z7P4;F6U529,GLSK-2_MOUSE;GLSK_MOUSE,Gls,"Glutaminase kidney isoform, mitochondrial",3,167000.0,156245.0,134399.0,122523.0
31,E9PV14,E9PV14,E9PV14_MOUSE,Epb41l1,"Isoform of Q9Z2H5, FERM domain-containing protein",9,118759.0,276916.0,0.0,69253.4
32,E9PVU0;E9Q174;E9Q175;E9Q3L1;V9GX76;V9GXM4,E9PVU0;E9Q174;E9Q175;E9Q3L1;V9GX76;V9GXM4,E9PVU0_MOUSE;E9Q174_MOUSE;E9Q175_MOUSE;E9Q3L1_MOUSE;V9GX76_MOUSE;V9GXM4_MOUSE,Myo6,"Isoform of Q64331, Unconventional myosin-6",5,245760.0,322903.0,0.0,338460.0
33,E9PYL2,E9PYL2,PRR12_MOUSE,Prr12,Proline-rich protein 12,2,0.0,57411.7,0.0,0.0
34,E9Q0F0,E9Q0F0,E9Q0F0_MOUSE,Krt78,IF rod domain-containing protein,2,31293000.0,25096200.0,38320800.0,72083300.0
35,E9Q1Z0,E9Q1Z0,E9Q1Z0_MOUSE,Krt90,IF rod domain-containing protein,2,236849.0,191607.0,247093.0,963394.0
36,E9Q4Q2;F6Z9W2,E9Q4Q2;F6Z9W2,E9Q4Q2_MOUSE;F6Z9W2_MOUSE,Sf1,"Isoform of Q64213, CCHC-type domain-containing protein",1,158973.0,231516.0,0.0,243326.0
37,E9Q4Z2,E9Q4Z2,ACACB_MOUSE,Acacb,Acetyl-CoA carboxylase 2,60,4037920.0,4505320.0,6138370.0,3941340.0
38,E9Q557,E9Q557;E9PZW0,DESP_MOUSE,Dsp,Desmoplakin,52,1375340.0,1428760.0,1708190.0,2483240.0
39,E9Q5M4,E9Q5M4,E9Q5M4_MOUSE,Zfr2,DZF domain-containing protein,1,552433.0,443155.0,0.0,474870.0
40,E9Q616,E9Q616,E9Q616_MOUSE,Ahnak,PDZ domain-containing protein,6,28227.2,247553.0,93210.1,130577.0
41,E9Q6E5;F6RDI8;Q3UIX4,E9Q6E5;D3Z4B0;D6RE22;F6RDI8;F6TN80;Q3UIX4,E9Q6E5_MOUSE;F6RDI8_MOUSE;Q3UIX4_MOUSE,Srsf11,RRM domain-containing protein,6,958735.0,919153.0,591811.0,921212.0
42,E9Q7G0,E9Q7G0;F6ZQA3,NUMA1_MOUSE,Numa1,Nuclear mitotic apparatus protein 1,1,47724.0,42219.4,0.0,27651.3
43,E9QPD7;G5E8R3,Q05920;E9QPD7;G5E8R3,E9QPD7_MOUSE;G5E8R3_MOUSE,Pcx,"Isoform of Q05920, Pyruvate carboxylase",77,630056000.0,475871000.0,837765000.0,475762000.0
44,F6SEU4,F6SEU4;A0A0A6YVS6;A0A0J9YUM2;A0A0J9YVH8;A0A2R8VHH2;J3QQ18,SYGP1_MOUSE,Syngap1,Ras/Rap GTPase-activating protein SynGAP,8,128780.0,357103.0,54888.2,106893.0
45,F6SRV1,D3YZC9;F6SRV1,F6SRV1_MOUSE,Sf1,"Isoform of Q64213, Splicing factor 1 (Fragment)",2,68258.8,64766.7,0.0,98981.0
46,F6UFZ5;G3X9Z4,G3X9Z4;F6UFZ5,F6UFZ5_MOUSE;G3X9Z4_MOUSE,Pcf11,"Isoform of G3X9Z4, PCF11 cleavage and polyadenylation factor subunit (Fragment)",1,0.0,0.0,0.0,69904.6
47,G3UZ78,G3UZ78;A0A140LI36;D3YZ77;J3QMP3,ADGB_MOUSE,Adgb,Androglobin,1,1135200.0,1578030.0,644594.0,1190590.0
48,G3UZJ2,G3UZJ2,G3UZJ2_MOUSE,Map2,"Isoform of P20357, Microtubule-associated protein (Fragment)",1,129249.0,187626.0,0.0,133719.0
49,G3X9C2,G3X9C2;A0A0A0MQ97,FBX50_MOUSE,Nccrp1,F-box only protein 50,1,99247.8,76489.0,68917.3,163378.0
50,G5E829,G5E829;A0A1W2P867,AT2B1_MOUSE,Atp2b1,Plasma membrane calcium-transporting ATPase 1,5,370966.0,256499.0,225014.0,146783.0
51,G5E8K5;G5E8K5-2;G5E8K5-3,G5E8K5;A0A1W2P812;G5E8K2;G5E8K3;G5E8K5-2;G5E8K5-3;Q3UVY0;S4R1S2;S4R229;S4R2K9;S4R2S8;W4VSQ0,ANK3-2_MOUSE;ANK3-3_MOUSE;ANK3_MOUSE,Ank3,Ankyrin-3,1,0.0,72417.0,0.0,0.0
52,H3BJR0,H3BJR0,H3BJR0_MOUSE,Pcca,"Isoform of Q91ZA3, PCC_BT domain-containing protein (Fragment)",1,2224180.0,1936350.0,3240800.0,2379220.0
53,O08539,O08539;A0A3Q4EBK4;O08539-2;Q6P1B9,BIN1_MOUSE,Bin1,Myc box-dependent-interacting protein 1,5,695285.0,782302.0,585648.0,711403.0
54,O08553,O08553,DPYL2_MOUSE,Dpysl2,Dihydropyrimidinase-related protein 2,21,1430060.0,2086150.0,492196.0,1448220.0
55,O08583;O08583-2;Q9JJW6;Q9JJW6-2,O08583;Q9JJW6;G3X9I4;O08583-2;Q9JJW6-2,ALRF2-2_MOUSE;ALRF2_MOUSE;THOC4-2_MOUSE;THOC4_MOUSE,Alyref;Alyref2,THO complex subunit 4,1,0.0,64895.4,0.0,26240.2
56,O08599;O08599-2,O08599;O08599-2,STXB1-2_MOUSE;STXB1_MOUSE,Stxbp1,Syntaxin-binding protein 1,10,424598.0,723915.0,191309.0,518286.0
57,O08677-2,O08677;A0A0R4J038;D3YTY9;O08677-2;O08677-3,KNG1-2_MOUSE,Kng1,"Isoform of O08677, Isoform LMW of Kininogen-1",2,79916.7,0.0,94397.9,0.0
58,O08709,O08709;Q8BG37;D3Z0Y2;Q6GT24,PRDX6_MOUSE,Prdx6,Peroxiredoxin-6,2,86727.7,92486.1,47205.2,97284.7
59,O08784,O08784;H3BL37,TCOF_MOUSE,Tcof1,Treacle protein,1,84628.8,83428.3,143575.0,117053.0
60,O09061,O09061;A0A338P7C0,PSB1_MOUSE,Psmb1,Proteasome subunit beta type-1,1,0.0,24527.8,36336.8,84676.6
61,O35286,O35286;A0A0G2JG10;Q497W9,DHX15_MOUSE,Dhx15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,4,167792.0,184236.0,0.0,160444.0
62,O35643;Q9DBG3;Q9DBG3-2,O35643;Q9DBG3;H3BIY9;H3BKM0;Q5SVG4;Q5SVG5;Q9DBG3-2,AP1B1_MOUSE;AP2B1-2_MOUSE;AP2B1_MOUSE,Ap1b1;Ap2b1,AP-1 complex subunit beta-1,1,22722.7,0.0,0.0,0.0
63,O35691,O35691;Q3TUQ5,PININ_MOUSE,Pnn,Pinin,1,56763.5,38186.1,0.0,39965.7
64,O35737,O35737;P70333;Q8C2Q7,HNRH1_MOUSE,Hnrnph1,Heterogeneous nuclear ribonucleoprotein H,4,224075.0,249155.0,28263.0,264447.0
65,O35855,O35855;A0A1B0GX27;O88374,BCAT2_MOUSE,Bcat2,"Branched-chain-amino-acid aminotransferase, mitochondrial",1,237649.0,249447.0,270977.0,186028.0
66,O35857,O35857,TIM44_MOUSE,Timm44,Mitochondrial import inner membrane translocase subunit TIM44,9,246672.0,357348.0,102469.0,207320.0
67,O35927;O35927-2,O35927;B7ZNF6;E9QKH8;O35927-2,CTND2-2_MOUSE;CTND2_MOUSE,Ctnnd2,Catenin delta-2,2,31256.2,64798.7,0.0,60555.0
68,O54724,O54724,CAVN1_MOUSE,Cavin1,Caveolae-associated protein 1,3,533450.0,358390.0,438497.0,467110.0
69,O54774,O54774,AP3D1_MOUSE,Ap3d1,AP-3 complex subunit delta-1,35,858888.0,710654.0,912824.0,1080110.0
70,O55042;O55042-2,O55042;O55042-2,SYUA-2_MOUSE;SYUA_MOUSE,Snca,Alpha-synuclein,9,3279280.0,3766880.0,647906.0,5822110.0
71,O55131,O55131;Q8C650;Q9DA97;A0A0R4J233;A0A1W2P6J7;E9Q1G8;E9Q9F5;Q8C650-2;S4R2P6,SEPT7_MOUSE,Septin7,Septin-7,3,133176.0,213056.0,0.0,117646.0
72,O55143;O55143-2,O55143;O55143-2,AT2A2-2_MOUSE;AT2A2_MOUSE,Atp2a2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,16,746596.0,538383.0,422624.0,313585.0
73,O70133;O70133-2,O70133;A0A087WPL5;E9QNN1;O70133-2;O70133-3;Q3UR42,DHX9-2_MOUSE;DHX9_MOUSE,Dhx9,ATP-dependent RNA helicase A,10,964167.0,752095.0,0.0,1135590.0
74,O70305;O70305-2;O70305-3,O70305;A0A286YDU2;E9QM77;F6U2C2;F7B6X4;O70305-2;O70305-3,ATX2-2_MOUSE;ATX2-3_MOUSE;ATX2_MOUSE,Atxn2,Ataxin-2,1,0.0,80601.4,0.0,0.0
75,O70325;O70325-2;O70325-3,O70325;O70325-2;O70325-3;S4R1E5,GPX4-2_MOUSE;GPX4-3_MOUSE;GPX4_MOUSE,Gpx4,Phospholipid hydroperoxide glutathione peroxidase,4,150788.0,124338.0,98619.6,46958.2
76,O70554;O70555;O70558;O70559;O70562,O70554;O70555;O70558;O70559;O70562;A9JTY7;G5E8D1,SPR2B_MOUSE;SPR2D_MOUSE;SPR2G_MOUSE;SPR2H_MOUSE;SPR2K_MOUSE,Sprr2b;Sprr2d;Sprr2g;Sprr2h;Sprr2k,Small proline-rich protein 2B,1,445723.0,960963.0,872375.0,1321930.0
77,O70585;O70585-2;Q9D2N4;Q9D2N4-2;Q9D2N4-3;Q9D2N4-4;Q9D2N4-7,O70585;Q9D2N4;A0A1Y7VJN9;A0A1Y7VL34;G3UXK0;G3UY34;G3UYK9;G3UYM7;G3UZ87;G3UZJ3;O70585-2;Q8C8Z9;Q8CFR5;Q8K0N0;Q9D2N4-2;Q9D2N4-3;Q9D2N4-4;Q9D2N4-7,DTNA-2_MOUSE;DTNA-3_MOUSE;DTNA-4_MOUSE;DTNA-7_MOUSE;DTNA_MOUSE;DTNB-2_MOUSE;DTNB_MOUSE,Dtna;Dtnb,Dystrobrevin beta,1,46199.7,135638.0,0.0,63687.4
78,O88271,O88271,CFDP1_MOUSE,Cfdp1,Craniofacial development protein 1,2,423423.0,461131.0,117097.0,525836.0
79,O88291,O88291;A0A0R4J098,ZN326_MOUSE,Znf326,DBIRD complex subunit ZNF326,3,0.0,78024.3,0.0,58058.1
80,O88343;O88343-2,O88343;A0A668KM61;A7E1Z5;E9Q8N8;O88343-2,S4A4-2_MOUSE;S4A4_MOUSE,Slc4a4,Electrogenic sodium bicarbonate cotransporter 1,3,226535.0,238079.0,116540.0,150271.0
81,O88532,O88532,ZFR_MOUSE,Zfr,Zinc finger RNA-binding protein,19,3059710.0,2689420.0,0.0,3842760.0
82,O88569,O88569;A0A0N4SUM2;O88569-2;O88569-3,ROA2_MOUSE,Hnrnpa2b1,Heterogeneous nuclear ribonucleoproteins A2/B1,17,4386320.0,4175450.0,440704.0,4980180.0
83,O88643;Q61036;Q61036-2;Q8CIN4,O88643;Q61036;Q8CIN4;A0A0U1RQ87;A3KGC3;A3KGC4;A3KGC5;G5E884;Q61036-2;S4R2K7,PAK1_MOUSE;PAK2_MOUSE;PAK3-2_MOUSE;PAK3_MOUSE,Pak1;Pak2;Pak3,Serine/threonine-protein kinase PAK 1,1,0.0,47497.1,0.0,0.0
84,O88712;O88712-2;P56546;P56546-2,O88712;P56546;A0A0J9YU62;A0A0J9YU66;A0A0J9YUM4;A0A0J9YUR5;A0A0J9YVC3;A0A0J9YVI3;E9PWQ9;E9Q0T4;O88712-2;P56546-2;Q91YZ2,CTBP1-2_MOUSE;CTBP1_MOUSE;CTBP2-2_MOUSE;CTBP2_MOUSE,Ctbp1;Ctbp2,C-terminal-binding protein 1,1,90361.1,25956.6,34966.2,0.0
85,O88737,O88737;O88737-2;V9GX98,BSN_MOUSE,Bsn,Protein bassoon,70,584481.0,1283930.0,94099.3,420786.0
86,O88935,O88935;O88935-1;O88935-3,SYN1_MOUSE,Syn1,Synapsin-1,11,284665.0,413268.0,54469.2,309165.0
87,O89094;O89094-2,O89094;O89094-2,CASPE-2_MOUSE;CASPE_MOUSE,Casp14,Caspase-14,1,97758.5,814982.0,87892.8,262608.0
88,P00405,P00405,COX2_MOUSE,Mtco2,Cytochrome c oxidase subunit 2,2,110836.0,96319.2,132154.0,113884.0
89,P01868;P01869,P01869;A0A075B5P4;A0A0A6YWR2;P01868,IGH1M_MOUSE;IGHG1_MOUSE,Ighg1,"Isoform of P01869, Ig gamma-1 chain C region secreted form",1,263568.0,189486.0,183373.0,197914.0
90,P01942,P01942;P06467;A7M7S6;Q91VB8,HBA_MOUSE,Hba,Hemoglobin subunit alpha,4,424505.0,417225.0,647367.0,721159.0
91,P02301;P68433;P84228;P84244,P02301;P68433;P84228;P84244;A0A1W2P768;E0CYN1;E0CYR7;E0CZ27;F8WI35,H31_MOUSE;H32_MOUSE;H33_MOUSE;H3C_MOUSE,H3-3b;H3-5;H3c1;H3c13,Histone H3.3C,2,11843900.0,8943440.0,11353500.0,9503180.0
92,P03995;P03995-2,P03995;P03995-2,GFAP-2_MOUSE;GFAP_MOUSE,Gfap,Glial fibrillary acidic protein,1,88130.4,80673.3,0.0,64778.0
93,P04370-4,P04370;A0A498WGS3;P04370-10;P04370-11;P04370-13;P04370-14;P04370-2;P04370-4;P04370-5;P04370-6;P04370-7;P04370-8;P04370-9,MBP-4_MOUSE,Mbp,"Isoform of P04370, Isoform 4 of Myelin basic protein",9,2894140.0,2508630.0,2081780.0,3221630.0
94,P05064,A6ZI46;A6ZI47;P05063;P05064;Q91Y97;A6ZI44;D3YWI1;Q9CPQ9,ALDOA_MOUSE,Aldoa,Fructose-bisphosphate aldolase A,5,115955.0,257639.0,327312.0,212390.0
95,P05202,P05202,AATM_MOUSE,Got2,"Aspartate aminotransferase, mitochondrial",2,0.0,105178.0,142533.0,146826.0
96,P06151,P00342;P06151;P16125;A0A0N4SVV8;A0A1B0GQX5;A0A1B0GSR9;A0A1B0GSX0;A0A1B0GT41;A0A6I8MX27;D3YVR7;D3YZE4;D3YZQ9;D3Z7F0,LDHA_MOUSE,Ldha,L-lactate dehydrogenase A chain,3,177498.0,234585.0,245345.0,345552.0
97,P07310,P07310;A0A0J9YKD4,KCRM_MOUSE,Ckm,Creatine kinase M-type,2,0.0,0.0,158443.0,73162.1
98,P07356,P07356;B0V2N7;B0V2N8,ANXA2_MOUSE,Anxa2,Annexin A2,9,433590.0,475454.0,402964.0,694321.0
99,P07724,P07724,ALBU_MOUSE,Alb,Albumin,34,10158700.0,8890040.0,9967720.0,9109480.0
100,P07758,P07758;P22599;Q00896;Q00897;Q00898;A0A0A0MQA3;A0A0R4J0X5,A1AT1_MOUSE,Serpina1a,Alpha-1-antitrypsin 1-1,6,1058650.0,870141.0,983044.0,805019.0
101,P07759,P07759;A0A0R4J0I1,SPA3K_MOUSE,Serpina3k,Serine protease inhibitor A3K,6,236259.0,174176.0,185216.0,195101.0
102,P07901,P07901,HS90A_MOUSE,Hsp90aa1,Heat shock protein HSP 90-alpha,2,190147.0,111510.0,100988.0,239741.0
103,P08249,P08249;A0A0G2JGY4,MDHM_MOUSE,Mdh2,"Malate dehydrogenase, mitochondrial",7,149932.0,187118.0,229833.0,121016.0
104,P08551,P08551,NFL_MOUSE,Nefl,Neurofilament light polypeptide,9,328606.0,251069.0,153305.0,122459.0
105,P08553,P08553;A0A0R4J036;D3YZ35,NFM_MOUSE,Nefm,Neurofilament medium polypeptide,8,212757.0,230213.0,58562.9,123792.0
106,P08556;P32883;P32883-2;Q61411;Q61411-2,P08556;P32883;Q61411;A0A0G2JE25;A0A0G2JGM2;A0A0G2JGP4;A0A0N4SVY1;B2KGV5;C0H5X4;E9PVD5;E9Q8V2;P32883-2;Q61411-2;Q9D091,RASH-2_MOUSE;RASH_MOUSE;RASK-2_MOUSE;RASK_MOUSE;RASN_MOUSE,Hras;Kras;Nras,GTPase NRas,1,104568.0,0.0,0.0,0.0
107,P09405,P09405,NUCL_MOUSE,Ncl,Nucleolin,11,251635.0,317470.0,60647.0,322140.0
108,P09813,P09813,APOA2_MOUSE,Apoa2,Apolipoprotein A-II,2,470430.0,415468.0,437656.0,376385.0
109,P0CG14,P0CG14,DERPC_MOUSE,Derpc,Decreased expression in renal and prostate cancer protein,4,153234.0,139312.0,158991.0,174173.0
110,P0DP26;P0DP27;P0DP28,P0DP26;P0DP27;P0DP28;A0A3Q4EHJ0,CALM1_MOUSE;CALM2_MOUSE;CALM3_MOUSE,Calm1;Calm2;Calm3,Calmodulin-1,2,208409.0,339323.0,0.0,283031.0
111,P10126,P10126;D3YZ68;D3Z3I8,EF1A1_MOUSE,Eef1a1,Elongation factor 1-alpha 1,11,2527960.0,2096110.0,1862510.0,1742310.0
112,P10630;P10630-2;P60843,P10630;P60843;E9Q561;P10630-2;Q8BTU6,IF4A1_MOUSE;IF4A2-2_MOUSE;IF4A2_MOUSE,Eif4a1;Eif4a2,Eukaryotic initiation factor 4A-II,2,87580.2,93070.3,0.0,123261.0
113,P10637-5,P10637;A0A0A0MQC7;A2A5Y6;B1AQW2;P10637-2;P10637-3;P10637-4;P10637-5;P10637-6,TAU-5_MOUSE,Mapt,"Isoform of P10637, Isoform Tau-D of Microtubule-associated protein tau",12,841417.0,1051190.0,292002.0,659091.0
114,P10637;P10637-2,P10637;A0A0A0MQC7;A2A5Y6;P10637-2,TAU-2_MOUSE;TAU_MOUSE,Mapt,Microtubule-associated protein tau,1,0.0,63518.9,0.0,0.0
115,P10639,P10639,THIO_MOUSE,Txn,Thioredoxin,4,2401080.0,3161600.0,1088980.0,2503770.0
116,P10649;P15626;P48774;Q80W21;Q8R5I6,P10649;P15626;P48774;Q80W21;Q8R5I6;A2AE89;A2AE91;D3YVP5;D3YVP6;D3YX76;D3YZ29;E9PV63;E9PVM7;E9QAC8;F6WHQ7,GSTM1_MOUSE;GSTM2_MOUSE;GSTM4_MOUSE;GSTM5_MOUSE;GSTM7_MOUSE,Gstm1;Gstm2;Gstm4;Gstm5;Gstm7,Glutathione S-transferase Mu 1,1,63584.5,0.0,0.0,0.0
117,P10852;P10852-2,P10852;A0A0U1RP32;A0A0U1RP98;A0A0U1RPG5;P10852-2,4F2-2_MOUSE;4F2_MOUSE,Slc3a2,4F2 cell-surface antigen heavy chain,2,54497.1,0.0,0.0,0.0
118,P10853;P10854;P70696;Q64475;Q64478;Q64525;Q6ZWY9;Q8CGP1;Q8CGP2;Q8CGP2-2,P10853;P10854;P70696;Q64475;Q64478;Q64524;Q64525;Q6ZWY9;Q8CGP0;Q8CGP1;Q8CGP2;Q9D2U9;Q8CBB6;Q8CGP2-2,H2B1A_MOUSE;H2B1B_MOUSE;H2B1C_MOUSE;H2B1F_MOUSE;H2B1H_MOUSE;H2B1K_MOUSE;H2B1M_MOUSE;H2B1P-2_MOUSE;H2B1P_MOUSE;H2B2B_MOUSE,H2bc1;H2bc12;H2bc14;H2bc3;H2bc4;H2bc7;H2bc9;Hist1h2bp;Hist2h2bb,Histone H2B type 1-F/J/L,2,628132.0,595484.0,337450.0,703374.0
119,P10922,P10922,H10_MOUSE,H1-0,Histone H1.0,2,131927.0,124167.0,141960.0,191418.0
